2023-09-08 18:48:02,922 INFO    MainThread:3765776 [wandb_init.py:_pause_backend():435] pausing backend
2023-09-08 18:48:58,975 INFO    MainThread:3765776 [wandb_init.py:_resume_backend():440] resuming backend
2023-09-08 18:49:25,578 INFO    MainThread:3765776 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-08 18:49:25,578 INFO    MainThread:3765776 [wandb_init.py:_pause_backend():435] pausing backend
2023-09-08 18:50:33,036 INFO    MainThread:3765776 [wandb_init.py:_resume_backend():440] resuming backend
2023-09-08 18:51:00,482 INFO    MainThread:3765776 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-08 18:51:00,482 INFO    MainThread:3765776 [wandb_init.py:_pause_backend():435] pausing backend
2023-09-08 18:54:49,976 INFO    MainThread:3765776 [wandb_init.py:_resume_backend():440] resuming backend
2023-09-08 18:55:16,082 INFO    MainThread:3765776 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-08 18:55:16,083 INFO    MainThread:3765776 [wandb_init.py:_pause_backend():435] pausing backend
2023-09-08 19:01:52,735 INFO    MainThread:3765776 [wandb_init.py:_resume_backend():440] resuming backend
2023-09-08 19:02:18,899 INFO    MainThread:3765776 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-08 19:02:18,899 INFO    MainThread:3765776 [wandb_init.py:_pause_backend():435] pausing backend
2023-09-08 19:03:24,581 INFO    MainThread:3765776 [wandb_init.py:_resume_backend():440] resuming backend
2023-09-08 19:03:49,954 INFO    MainThread:3765776 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-08 19:03:49,955 INFO    MainThread:3765776 [wandb_init.py:_pause_backend():435] pausing backend
2023-09-08 19:10:23,922 INFO    MainThread:3765776 [wandb_init.py:_resume_backend():440] resuming backend
2023-09-08 19:10:49,961 INFO    MainThread:3765776 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-08 19:10:49,962 INFO    MainThread:3765776 [wandb_init.py:_pause_backend():435] pausing backend
2023-09-08 19:14:55,400 INFO    MainThread:3765776 [wandb_init.py:_resume_backend():440] resuming backend
2023-09-08 19:15:21,335 INFO    MainThread:3765776 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-08 19:15:21,335 INFO    MainThread:3765776 [wandb_init.py:_pause_backend():435] pausing backend
2023-09-08 19:17:45,184 INFO    MainThread:3765776 [wandb_init.py:_resume_backend():440] resuming backend
2023-09-08 19:18:10,247 INFO    MainThread:3765776 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-08 19:18:10,247 INFO    MainThread:3765776 [wandb_init.py:_pause_backend():435] pausing backend
2023-09-08 19:26:33,565 INFO    MainThread:3765776 [wandb_init.py:_resume_backend():440] resuming backend
2023-09-08 19:27:00,694 INFO    MainThread:3765776 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-08 19:27:00,694 INFO    MainThread:3765776 [wandb_init.py:_pause_backend():435] pausing backend
2023-09-08 19:30:59,867 INFO    MainThread:3765776 [wandb_init.py:_resume_backend():440] resuming backend
2023-09-08 19:31:25,984 INFO    MainThread:3765776 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-08 19:31:25,984 INFO    MainThread:3765776 [wandb_init.py:_pause_backend():435] pausing backend
2023-09-08 19:31:59,458 INFO    MainThread:3765776 [wandb_init.py:_resume_backend():440] resuming backend
2023-09-08 19:32:25,684 INFO    MainThread:3765776 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-08 19:32:25,684 INFO    MainThread:3765776 [wandb_init.py:_pause_backend():435] pausing backend
2023-09-08 19:34:04,717 INFO    MainThread:3765776 [wandb_init.py:_resume_backend():440] resuming backend
2023-09-08 19:34:30,653 INFO    MainThread:3765776 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-08 19:34:30,653 INFO    MainThread:3765776 [wandb_init.py:_pause_backend():435] pausing backend
2023-09-08 19:35:53,556 INFO    MainThread:3765776 [wandb_init.py:_resume_backend():440] resuming backend
2023-09-08 19:36:18,455 INFO    MainThread:3765776 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-08 19:36:18,455 INFO    MainThread:3765776 [wandb_init.py:_pause_backend():435] pausing backend
